diagnostic,period,value,units,interpretation,source_table,domain,classification
omega700,JJAS,-0.025247368002447257,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
omega700,JJAS,-0.027493136073230007,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
omega700,JJAS,0.005311056719786481,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
omega700,JJAS,-0.03085566823551771,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
omega700,JJAS,-0.0066153784985771855,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
omega700,JJAS,-0.0348531436808147,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,tej_core,
omega700,JJAS,0.012460066763810401,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
omega700,JJAS,0.019961019891059133,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
divergence200,June,-1.229693986470377e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia,
divergence200,June,-2.3598293767813628e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
divergence200,June,4.399878713236712e-08,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
divergence200,June,-7.204450487403883e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
divergence200,June,1.4277316456367058e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
divergence200,June,-2.2413760846756095e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
divergence200,June,-5.822870727898359e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,greater_horn,
divergence200,June,-5.793023096478391e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_africa,
divergence200,June,-4.4760037221009184e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
divergence200,June,1.2068587200111944e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
divergence200,June,1.3512738384872426e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
divergence200,June,6.320508908245757e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
divergence200,June,-5.626030050473188e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
divergence200,June,-9.700287142894161e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
divergence200,June,2.0086367569596833e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,tej_core,
divergence200,June,-9.813304292467373e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
divergence200,June,-3.2970558051439425e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
divergence200,July,-3.581771402497405e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia,
divergence200,July,1.6496720181893906e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
divergence200,July,2.359574102673578e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
divergence200,July,1.7334625786675592e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
divergence200,July,3.361239220689192e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
divergence200,July,-2.3336771133857702e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
divergence200,July,-5.462492932944533e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,greater_horn,
divergence200,July,-5.436130065601618e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_africa,
divergence200,July,-4.046187898574242e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
divergence200,July,1.408557466164297e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
divergence200,July,1.5583214743385088e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
divergence200,July,4.749820876109709e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
divergence200,July,-2.3602261836256667e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
divergence200,July,-3.4222552587428685e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
divergence200,July,2.0110684720910765e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,tej_core,
divergence200,July,-1.014819822600956e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
divergence200,July,-3.7139845411561802e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
divergence200,August,-4.1827435630500473e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia,
divergence200,August,2.1096851960462387e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
divergence200,August,2.9983484743812356e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
divergence200,August,2.243388878263865e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
divergence200,August,3.767946186053876e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
divergence200,August,-3.0377294335092198e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
divergence200,August,-5.351188758982833e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,greater_horn,
divergence200,August,-5.187626576968378e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_africa,
divergence200,August,-2.7214145322579715e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
divergence200,August,2.3450628081773843e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
divergence200,August,1.9989933385079187e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
divergence200,August,-1.9135467967066076e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
divergence200,August,-4.346348408461343e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
divergence200,August,-3.0057377847561603e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
divergence200,August,1.721899803878807e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,tej_core,
divergence200,August,-1.7317773920715589e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
divergence200,August,-3.7914267112660266e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
divergence200,September,-1.264375788241099e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia,
divergence200,September,4.60340924923916e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
divergence200,September,4.7251496146891864e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
divergence200,September,2.520655295825857e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
divergence200,September,2.652908845024695e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
divergence200,September,-3.0366843329877217e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
divergence200,September,-6.08704468705871e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,greater_horn,
divergence200,September,-5.868766274635483e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_africa,
divergence200,September,-3.317697043121246e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
divergence200,September,2.8518883981089892e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
divergence200,September,1.8892468380868606e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
divergence200,September,-6.198482164816114e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
divergence200,September,-1.1366024362015053e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
divergence200,September,-9.736957218061758e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
divergence200,September,1.1357386680227022e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,tej_core,
divergence200,September,-2.4055686752756523e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
divergence200,September,-3.4948638629573863e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
divergence200,JJA,-6.68714864554884e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia,
divergence200,JJA,1.1744585621126727e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
divergence200,JJA,1.8006408838167612e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
divergence200,JJA,1.0854692566124655e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
divergence200,JJA,2.8523061642644192e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
divergence200,JJA,-2.5375940159769763e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
divergence200,JJA,-5.545516409753287e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,greater_horn,
divergence200,JJA,-5.472258709115904e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_africa,
divergence200,JJA,-3.747867408756278e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
divergence200,JJA,1.6534932981432326e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
divergence200,JJA,1.6361964372181199e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
divergence200,JJA,3.0522624435515495e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
divergence200,JJA,-4.110867753268658e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
divergence200,JJA,-5.376092855620463e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
divergence200,JJA,1.9138686961521355e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,tej_core,
divergence200,JJA,-1.2426424857499774e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
divergence200,JJA,-3.6008218906338135e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
divergence200,JJAS,-8.176301199516803e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia,
divergence200,JJAS,9.959292631601208e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
divergence200,JJAS,1.4686094491541895e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
divergence200,JJAS,8.77118406896342e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
divergence200,JJAS,2.8024569806390737e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
divergence200,JJAS,-2.662366702175822e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
divergence200,JJAS,-5.680899177697516e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,greater_horn,
divergence200,JJAS,-5.571386386839789e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,east_africa,
divergence200,JJAS,-3.640325413520029e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
divergence200,JJAS,1.9530920848678395e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
divergence200,JJAS,1.6994590289456473e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
divergence200,JJAS,7.395751594832133e-08,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
divergence200,JJAS,-5.92465699523411e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
divergence200,JJAS,-6.466309388299316e-07,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
divergence200,JJAS,1.719336283279974e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,tej_core,
divergence200,JJAS,-1.5333741678815891e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
divergence200,JJAS,-3.5743324133455145e-06,s**-1,Positive 200 hPa divergence supports upper-level outflow and convection.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
z200,June,12442.076433051265,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia,
z200,June,12445.826498128978,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
z200,June,12456.899972175004,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
z200,June,12441.326654694614,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
z200,June,12444.136801811435,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
z200,June,12436.913812732022,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
z200,June,12443.560515546858,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,greater_horn,
z200,June,12438.003260060892,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_africa,
z200,June,12428.354345017773,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
z200,June,12433.344233482023,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
z200,June,12437.800312320449,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
z200,June,12431.106732396242,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
z200,June,12483.46792215492,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
z200,June,12443.403014522659,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
z200,June,12462.611270802463,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,tej_core,
z200,June,12430.299316908073,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
z200,June,12424.38624456654,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
z200,July,12423.639607590088,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia,
z200,July,12428.73748905825,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
z200,July,12444.584384695736,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
z200,July,12422.322448828674,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
z200,July,12425.704089906121,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
z200,July,12416.706050978602,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
z200,July,12431.985649568076,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,greater_horn,
z200,July,12419.869991948595,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_africa,
z200,July,12411.376201061077,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
z200,July,12411.008246298623,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
z200,July,12417.304909355193,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
z200,July,12407.890390009841,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
z200,July,12502.408211871902,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
z200,July,12494.348439766458,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
z200,July,12449.463061321381,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,tej_core,
z200,July,12407.255565732088,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
z200,July,12398.740363751684,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
z200,August,12425.462519276765,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia,
z200,August,12430.375036327985,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
z200,August,12445.257585420482,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
z200,August,12424.361650288143,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
z200,August,12427.522676775301,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
z200,August,12418.969889120901,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
z200,August,12431.88397999646,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,greater_horn,
z200,August,12421.160869401689,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_africa,
z200,August,12413.411105746407,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
z200,August,12413.693525423223,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
z200,August,12419.694073320998,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
z200,August,12409.006162041655,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
z200,August,12496.135833178207,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
z200,August,12484.340308485505,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
z200,August,12448.486710259216,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,tej_core,
z200,August,12409.72083612186,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
z200,August,12402.199395037867,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
z200,September,12422.64815393405,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia,
z200,September,12425.336639215979,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
z200,September,12435.094559288438,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
z200,September,12421.345900619854,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
z200,September,12423.532472353503,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
z200,September,12418.639532691132,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
z200,September,12423.813204887485,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,greater_horn,
z200,September,12418.443636642867,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_africa,
z200,September,12408.983510786553,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
z200,September,12414.990532665732,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
z200,September,12418.581627680454,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
z200,September,12411.405934404176,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
z200,September,12460.679855162349,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
z200,September,12427.457342683887,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
z200,September,12441.582807412587,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,tej_core,
z200,September,12412.69015216445,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
z200,September,12407.571385065348,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
z200,JJA,12430.392802027922,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia,
z200,JJA,12434.979609831667,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
z200,JJA,12448.913939511625,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
z200,JJA,12429.336828019854,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
z200,JJA,12432.454491258084,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
z200,JJA,12424.196540917776,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
z200,JJA,12435.810039754997,m,Geopotential height climatology used for circulation and Rossby-wave context.,era5_vertical_divergence_height_diagnostics,greater_horn,
